no,gender,method,score,survey
1,1,1,5.1,1
2,1,1,5.2,0
3,1,1,4.7,1
4,2,1,,0
5,1,1,5,1
6,1,1,5.4,1
7,1,1,5,1
8,1,1,,1
9,1,1,4.9,0
10,1,1,5.2,1
11,2,1,4.3,1
12,1,1,5.8,1
13,1,1,5.7,1
14,1,1,5.1,1
15,1,1,5.3,0
16,2,1,5.4,1
17,1,1,5.1,1
18,1,1,4.8,0
19,1,1,4.1,1
20,1,1,4.8,1
21,1,1,5,1
22,1,1,5.2,1
23,2,1,4.7,1
24,1,1,4.4,1
25,1,1,5.2,0
26,1,1,5.3,1
27,2,1,4,1
28,1,1,6.1,1
29,1,1,6.3,1
30,1,1,4.1,1
31,1,1,5,1
32,2,1,5.3,1
33,1,1,4,1
34,1,1,5.1,0
35,1,1,3.8,1
36,1,1,,1
37,2,1,5.6,1
38,1,1,5.3,1
39,1,1,,1
40,1,1,7,1
41,1,1,6.4,1
42,2,1,,1
43,1,1,5.5,1
44,1,1,,0
45,1,1,4.7,1
46,1,1,,0
47,1,1,3.9,1
48,2,1,,1
49,1,1,4.1,0
50,1,1,5,1
51,1,1,,1
52,2,1,6,1
53,1,1,3.3,0
54,1,1,5.6,1
55,1,1,,1
56,1,1,5.6,0
57,2,1,,1
58,1,1,6.2,1
59,1,1,,1
60,1,1,5.9,0
61,2,1,3.4,1
62,2,1,6.3,1
63,2,1,,1
64,2,1,6.4,1
65,2,1,3,0
66,1,1,6.8,1
67,2,1,,1
68,2,1,,1
69,2,1,5.2,0
70,1,1,5.5,1
71,2,1,,1
72,1,1,5.8,0
73,2,1,,1
74,2,1,5.4,1
75,2,1,6,1
76,2,1,6.7,1
77,1,1,5.2,0
78,1,1,5.6,1
79,2,1,,1
80,2,1,5.5,0
81,2,1,6.1,1
82,1,1,,0
83,1,1,5,1
84,1,1,,1
85,2,1,5.7,1
86,1,1,5.7,0
87,2,1,,1
88,2,1,5.1,1
89,2,1,5.7,1
90,2,1,6.3,0
91,1,1,,1
92,1,1,7.1,1
93,2,1,,0
94,1,1,6.5,1
95,1,1,,1
96,2,1,4.9,0
97,2,1,6.2,1
98,2,1,,0
99,1,1,7.2,1
100,1,1,6.5,0
101,2,1,6.4,1
102,2,1,6.8,1
103,1,1,,1
104,2,1,5.8,1
105,1,1,,0
106,2,1,,1
107,1,1,6.7,1
108,2,1,7.7,0
109,1,1,,1
110,2,1,6.9,0
111,2,1,,1
112,2,1,7.7,1
113,1,1,,1
114,2,1,6.7,1
115,2,1,,0
116,1,1,6.2,1
117,2,1,6.1,1
118,2,1,6.4,1
119,1,1,5.8,1
120,2,1,5.2,0
121,1,2,5.4,1
122,2,2,4.9,1
123,1,2,6.3,0
124,1,2,5.2,1
125,1,2,5.9,1
126,1,2,5.8,1
127,2,2,5.7,0
128,1,2,5.1,1
129,1,2,5.3,1
130,1,2,5.4,1
131,1,2,5.1,0
132,1,2,4.8,1
133,1,2,4.7,1
134,1,2,4.8,1
135,1,2,,0
136,1,2,5,1
137,1,2,,1
138,1,2,5.2,1
139,1,2,4.7,0
140,1,2,4.8,1
141,1,2,4.4,1
142,1,2,5.2,0
143,1,2,5.3,1
144,1,2,7,1
145,1,2,4,1
146,2,2,6.1,1
147,2,2,,1
148,2,2,6.3,1
149,1,2,4.1,1
150,1,2,7,1
151,1,2,,1
152,1,2,5.3,1
153,1,2,4,0
154,2,2,8,1
155,1,2,4.8,1
156,1,2,,1
157,1,2,5.6,1
158,2,2,5,1
159,1,2,,1
160,2,2,6,1
161,2,2,6.4,0
162,1,2,,1
163,1,2,5.5,1
164,2,2,,1
165,1,2,4.7,1
166,1,2,,1
167,1,2,4.8,1
168,1,2,,0
169,1,2,5.1,1
170,1,2,8,1
171,1,2,,1
172,2,2,6,1
173,1,2,5.3,1
174,1,2,5.6,1
175,2,2,,1
176,1,2,5.6,0
177,1,2,,1
178,1,2,6.2,1
179,2,2,,1
180,1,2,5.9,0
181,2,2,5.4,1
182,2,2,6.3,1
183,1,2,,1
184,1,2,6.4,1
185,1,2,5,0
186,1,2,6.8,1
187,1,2,5.4,1
188,2,2,,1
189,1,2,5.2,1
190,1,2,5.5,1
191,2,2,5.8,0
192,1,2,5.8,1
193,2,2,,1
194,1,2,5.4,1
195,2,2,6,1
196,2,2,6.7,1
197,2,2,5.2,0
198,1,2,5.6,1
199,2,2,,1
200,2,2,5.5,1
201,2,2,6.1,1
202,1,2,,1
203,2,2,5,1
204,2,2,,1
205,2,2,5.7,1
206,2,2,5.7,1
207,1,2,7.3,0
208,1,2,5.1,1
209,2,2,5.7,1
210,2,2,6.3,1
211,1,2,5.3,1
212,1,2,4,0
213,2,2,8,1
214,1,2,4.8,1
215,1,2,,1
216,1,2,5.6,1
217,2,2,5,1
218,1,2,,1
219,2,2,6,1
220,2,2,6.4,0
221,1,2,,1
222,1,2,5.5,1
223,2,2,,1
224,1,2,4.7,1
225,1,2,,1
226,1,2,4.8,1
227,1,2,,0
228,1,2,5.1,1
229,1,2,8,1
230,1,2,5.4,1
231,2,2,,1
232,1,2,5.2,1
233,1,2,5.5,1
234,2,2,5.8,0
235,1,2,5.8,1
236,2,2,,1
237,1,2,5.4,1
238,2,2,6,1
239,2,2,6.7,1
240,2,2,5.2,0
